"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
2492,5028,"警","梗開三上梗見","6226 2566","ćiŋ 2","ćiŋ 2","ćiŋ 2","ćiŋ 2","ćin 2","ćin 2","ćĩ 2","ćin 2","ćiaŋ 21","ćin 2","ćin 2","ćin 2","kin 2","kîŋ 21","kîŋ 2","keŋ 21","kiŋ 2","",""
2493,5029,"譯","梗開三入昔以","6230 0728","i 3","i 3","i 12","iəʔ 41","i 12","i 12","iəʔ 4","iôʔ 42","ɦiai 42","i 4","i 12","it 41","jit 42","jîk 42","îk 42","ek 42","iʔ 42","iîʔ 42","i 43"
2494,5032,"贏","梗開三平清以","6366 2609","iŋ 12","iŋ 12","iŋ 12","iŋ 1","in 12","in 12","ĩ 12","in 12","ɦiaŋ 12","in 12","in 12 (lit.); iõ 12","iaŋ 31","jaŋ 12","jîŋ 12","îŋ 12 (lit.); iã 12","iã 12","iŋ 12 (lit.); iaŋ 12","iiŋ 32","iəŋ 12"
2495,5035,"躁","效開一去號精","6481 1335","cau 3","cɔ 3","cau 3","chau 3","cau 3","chau 3","chɔ 3","cä 31","cз 31","chau 31","cə 31","cau 31","chau 3","čhou 31","so 31","chau 31","chɔ 31","chɔ 3","cau 3"
2496,5039,"鐘","通合三平鍾章","6988 2662","c̣uŋ 11","c̣uŋ 11","pfoŋ 11","cuŋ 1","coŋ 11","coŋ 11","cɔuŋ 11","coŋ 11","ćyɔ 11","c̣oŋ 11","ćin 11","cuŋ 11","cuŋ 11","čuŋ 11","ciɔŋ 11","ceŋ 11","cyŋ 11","coŋ 1","čiuŋ 1"
2497,5044,"飄","效開三平宵滂","7374 1408","phiau 11","phiɔ 11","phiau 11","phiau 1","phiau 11","phiau 11","phiɔ 11","phiä 11","phiɛ 11","phiau 11","phiə 11","phiɛu 11","phiau 11","phiu 11","phiau 11","phiəu 11","phieu 11","phiɔ 1","phiau 1"
2498,5045,"饒","效開三平宵日","7437 1379","ẓau 12","ẓɔ 12","ẓau 12","zau 1","nau 12","zau 12","sɔ 12","ńiä 12","ńiɛ 12","iau 12","iə 12","iɛu 31","ńiau 12","jiu 12","giau 12","ziəu 12","ŋieu 12","ńiɔ 32","žiau 12"
2499,5049,"騰","曾開一平登定","7506 2442","thəŋ 12","thəŋ 12","thəŋ 12","thəŋ 1","thən 12","thən 12","thəŋ 12","dən 12","daŋ 12","tən 12","diɛ̃ 12","thɛn 12","thɛn 12","thaŋ 12","thîŋ 12 (lit.); tĩ 12","theŋ 12","teiŋ 12","təŋ 32","thəŋ 12"
2500,5050,"騷","效開一平豪心","7510 1345","sau 11","sɔ 11","cau 11","sau 1","sau 11","sau 11","sɔ 11","sä 11","sз 11","sз 11","sə 11","sau 11","sau 11","šou 11","so 11","sau 11","sɔ 11","zɔ 32","sau 1"
2501,5054,"鹹","咸開二平咸匣","7768 1876","śian 12","śiã 12","śiã 12","śiɛ 1","śian 12","xan 12","xɛ̃ 12; śiɛ̃ 12 (lit.)","î 12; ɦe̲ 12","ɦa 11","xan 12","ɣã 12","han 12","ham 12","hām 12","ham 12 (lit.); kiam 12","kiəm 12","keiŋ 12","ɦe̲ 32",""
2502,5055,"黨","宕開一上蕩端","8093 2244","taŋ 2","taŋ 2","taŋ 2","tã̲ 2","taŋ 2","taŋ 2","tâŋ 2","ta̲ŋ 2","tɔ 21","tan 2","taŋ 2","tɔŋ 2","tɔŋ 2","tɔŋ 21","tɔŋ 2","taŋ 21","touŋ 2","tã̲ 3",""
2503,5064,"屬","通合三入燭襌","1466 0895","ṣu 2","ṣu 2","fu 12","suəʔ 42","sou 12","su 12","sɔʔ 4","zoʔ 42","ʒ́yo 42","ṣôu 4","śiû 31","suk 41","suk 42","šuk 42","siɔk 42","sok 42","syʔ 42","zoʔ 42","šiu 41"
2504,5072,"櫻","梗開二平耕影","2937 2602","iŋ 11","iŋ 11","iŋ 11","iŋ 1","in 11","in 11","ĩ 11","iŋ 11 (lit.); aŋ 11","iaŋ 11","in 11","in 11","in 11","jin 11","jîŋ 11","îŋ 11","eŋ 11","eiŋ 11","",""
2505,5073,"欄","山開一平寒來","2936 1688","lan 12","lã 12","lã 12","lä̃ 1","nan 12","nan 12","lɛ̃ 12","le̲ 12","la 12","nan 12","nã 12","lan 31","lan 12","lān 12","lan 12","laŋ 12","laŋ 12","",""
2506,5075,"殲","咸開三平鹽精","3005 1824","ćian 11","ćhiã 11","ćiã 11","ćhiɛ 1","ćhian 11","ćhian 11","ćî̃ 11","chî 11","ćhi 11","chiẽ 11","ćhî̃ 11","ćhiɛn 11","chiam 12","čhim 11","chiam 11","chiəm 11","chieŋ 11","chî 1","ciem 1"
2507,5076,"灌","山合一去換見","3487 1961","kuan 3","kuã 3","kuã 3","kuä̃ 3","kuan 3","kuan 3","kuõ 3","kuö 31","ky 31","kõ 31","kuɛ̃ 31","kuɔn 31","kuɔn 3","kun 31","kuan 31 (lit.); kuã 31","kueŋ 31","kuaŋ 31","kuö 3","kon 3"
2508,5077,"爛","山開一去翰來","3620 1695","lan 3","lã 3","lã 3","lä̃ 3","nan 3","nan 3","lɛ̃ 3","le̲ 32","la 32","nan 32","nã 32","lan 32","lan 3","lān 32","lan 32 (lit.); nuã 32","laŋ 32","laŋ 32","le̲ 32","lan 3"
2509,5078,"犧","止開三平支曉","3686 0688","śi 11","śi 11","śi 11","śi 1","śi 11","śi 11","śi 11","śi 11","si̲ 11","śi 11","śi 11","śi 11","hi 11","hei 11","hi 11","hi 11","xi 11","śi 1","xi 1"
2510,5081,"纏","山開三平仙澄","4961 1722","c̣han 12","c̣hã 12","chã 12","chä̃ 1","chan 12","chan 12","ćhĩ̲ 12","zö 12","ɦi 12","c̣ôn 12","ʒ́î̃ 12","chɛn 12","chan 12","čhin 12","tian 12","tĩ 12","tieŋ 12","zö 32","čhien 12"
2511,5082,"續","通合三入燭邪","4958 0995","śy 3","śy 3","śy 3","śyəʔ 42","sou 12","śyo 12","soʔ 4","zoʔ 42","ɦyo 42","sou 4","śiû 12","suk 41","siuk 42","čuk 42","siɔk 42","sok 42","syʔ 42","zoʔ 42","si 3"
2512,5085,"蘭","山開一平寒來","5695 1688","lan 12","lã 12","lã 12","lä̃ 1","nan 12","nan 12","lɛ̃ 12","le̲ 12","la 12","nan 12","nã 12","lan 31","lan 12","lān 12","lan 12","laŋ 12","laŋ 12","le̲ 32","lan 12"
2513,5088,"蠢","臻合三上準昌","5868 2178","c̣huən 2","c̣huẽ 2","pfhẽ 2","chuŋ 1","ćhyn 2","chuən 2","chuən 2","chən 11","ćhyoŋ 21","ćhyn 2","thuən 2","chun 11","chun 2","čhö̲n 21","chun 2  (lit.); thun 2","chuŋ 21","chuŋ 2","chəŋ 3","čhən 2"
2514,5091,"襪","山合三入月微","5920 0137","ua 3","ua 3","ua 11","vaʔ 41","ua 12","ua 12","uaʔ 4","maʔ 42","mo 42","ua 4","ua 12","uat 41","mat 41","māt 42","beʔ 42","bueʔ 42","uaʔ 42","maʔ 42","va 43"
2515,5092,"覽","咸開一上敢來","6031 1691","lan 2","lã 2","lã 2","lä̃ 2","nan 2","nan 2","lɛ̃ 2","le̲ 32","la 22","nan 2","nã 2","lan 2","lam 3","lām 22","lam 2","lam 21","laŋ 2","le̲ 32","lam 2"
2516,5094,"護","遇合一去暮匣","6233 0933","xu 3","xu 3","xu 3","xu 3","xu 3","fu 3","xu 3","ɦəu 32","vu 32","fu 31","ɣəu 32","фu 32","fu 3","uu 32","hɔ 32","hu 22","xou 32","ɦu 32",""
2517,5095,"譽","遇合三去御以","6235 1014","y 3","y 3","y 3","y 3","y 3","y 3","y 3","y 32","ɦu 32","y 31","y 32","y 32","ji 3","jy 32","u 32","ɨ 22","y 32","y 32","iu 3"
2518,5096,"贓","宕開一平唐精","6368 2257","caŋ 11","caŋ 11","caŋ 11","cã̲ 1","caŋ 11","caŋ 11","câŋ 11","ca̲ŋ 11","cɔ 11","can 11","caŋ 11","cɔŋ XH","cɔŋ 11","čɔŋ 11","cɔŋ 11","caŋ 11","couŋ 11","cã̲ 1","caŋ 1"
2519,5100,"轟","梗合三平耕曉","6575 2701","xuŋ 11","xuŋ 11","xoŋ 11","xuŋ 1","xuŋ 11","xoŋ 11","xɔuŋ 11","hoŋ 11","xoŋ 11","xoŋ 11","xaŋ 11; xən 11","фuŋ 11","fuŋ 11","kuaŋ 11","îŋ 11","hoŋ 11","xuŋ 11","hoŋ 1","xuŋ 1"
2520,5101,"辯","山開三上獼並","6589 1775","pian 3","piã 3","piã 3","piɛ 3","pian 3","pian 3","pî̃ 3","bî 32","bi 22","piẽ 31","bî̃ 32","phiɛn 32","phiɛn 3","pin 32","pian 32","pieŋ 22","pieŋ 32","",""
2521,5103,"鐮","咸開三平鹽來","6991 1812","lian 12","liã 12","liã 12","liɛ 1","nian 12","nian 12","lî̃ 12","lî 12","li 12","niẽ 12","nî̃ 12","liɛn 31","liam 12","lim 12","liam 12","liəm 12","lieŋ 12","",""
2522,5105,"鐵","山開四入屑透","6993 0332","thie 2","thie 11","thie 11","thiəʔ 41","thie 11","thie 12","thiəʔ 4","thiôʔ 41","thi 41","thie 4","thiɛ 12","thiɛt 41","thiɛt 41","thit 43","thiat 41 (lit.); thiʔ 41","thiʔ 41","thieʔ 41","thîʔ 4","thie 42"
2523,5108,"鐲","江開二入覺崇","6992 0292","c̣uo 12","c̣uə 12","pfo 12","cuəʔ 42","co 12","cu 12","cuâʔ 4","zoʔ 42","ʒ́yo 42","co 4","chû 31","chɔk 41","chuk 41","čuk 42","siɔk 42 (lit.); soʔ 42","cuak 42","sɔʔ 42","zoʔ 42","čo 41"
2524,5111,"霸","假開二去禡幫","6011 0015","pa 3","pa 3","pa 3","pa 3","pa 3","pa 3","pai 3","po 31","po 31","pa 31","po 31","pa 31","pa 3","pa 31","pa 31","pa 31","pa 31","po 3","pa 3"
2525,5113,"露","遇合一去暮來","7216 0823","lu 3","lu 3","lou 3","lou 3; lu 3","nou 3","nu 3","lu 3","ləu 32","ləu 32","nôu 32","nəu 32","lu 32","lu 3","lou 32","lɔ 32","lou 32","lou 32","lou 32","lu 3"
2526,5114,"響","宕開三上養曉","0742 2349","śiaŋ 2","śiaŋ 2","śiaŋ 2","śiã̲ 2","śiaŋ 2","śiaŋ 2","śiâŋ 2","śiaŋ 2","śi 21","śian 2","śiaŋ 2","śiɔŋ 2","hiɔŋ 2","hö̲ŋ 21","hiɔŋ 2","hiaŋ 21","xyɔŋ 2","śiã 3","xiaŋ 2"
2527,5115,"顧","遇合一去暮見","7357 0915","ku 3","ku 3","ku 3","ku 3","ku 3","ku 3","ku 3","kəu 31","ku 31","ku 31","kəu 31","ku 31","ku 3","ku 31","kɔ 31","ku 31","kou 31","",""
2528,5118,"驅","遇合三平虞溪","7517 0977","ćhy 11","ćhy 11","ćhy 11","ćhy 1","ćhy 11","ćhy 11","ćhy 11","ćhy 11","ćhy 11","ćhy 11","thy 11","ćhy 11","khi 11","khö̲y 11","khu 11","khu 11","khü 11","",""
2529,5121,"騾","果合一平歌來","7512 0265","luo 12","luə 12","luo 12","luə 1; lə 1","no 12","no 12","lo 12","ləu 12","ləu 12","no 12","nû 12","lo 31","lɔ 12","lɔ 12","lo 12","lo 12","lɔ 12","ly 32","luo 12"
2530,5123,"魔","果合一平戈明","7621 0235","mo 12","mə 12","mo 12","mə 1","mo 12","mo 12","mo 12","mo 12","mo̲y 12","mo 12","mû 12","mo 31","mɔ 12","mɔ 11","mɔ 12 (lit.); mɔ̃ 12","mo 11","mɔ 12","mo 32","muo 12"
2531,5139,"囊","宕開一平唐泥","0926 2254","naŋ 12","naŋ 12","naŋ 12","nã̲ 1","naŋ 12","naŋ 12","naŋ 12","na̲ŋ 12","nɔ 12","nan 12","naŋ 12","lɔŋ 31","nɔŋ 12","nɔŋ 12","lɔŋ 12 (lit.); laŋ 12","laŋ 12","nouŋ 12","nã̲ 32","naŋ 12"
2532,5143,"彎","山合二平刪影","1737 1977","uan 11","uã 11","uã 11","vä̃ 1","uan 11","uan 11","uɛ̃ 11","ue̲ 11","ua 11","uan 11","uã 11","uan 11","van 11","uān 11","uan 11","ueŋ 11","uaŋ 11","ue̲ 1","uan 1"
2533,5145,"攤","山開一平寒透","2382 1669","than 11","thã 11","thã 11","thä̃ 1","than 11","than 11","thɛ̃ 11","the̲ 11","tha 11","than 11","thã 11","than 11","than 11","thān 11","than 11","thaŋ 11","thaŋ 11","",""
2534,5146,"權","山合三平仙群","5425 1999","ćhyan 12","ćhyã 2","ćhyã 12","ćhyɛ 1","chuan 12","ćhyan 12","ćhyî̃ 12","ʒ́ö 12","ʒ́y 12","ćyẽ 12","duĩ 12","ćhyɔn 12","khian 12","khyn 12","kuan 12","khueŋ 12","kuɔŋ 12","ćyö 32","khyen 12"
2535,5147,"歡","山合一平桓曉","2970 1967","xuan 11","xuã 11","xuã 11","xuä̃ 1","xuan 11","xuan 11","xuõ 11","huö 11","śy 11","xõ 11","xuã 11","фuɔn 11","fɔn 11","fun 11","huan 11","hueŋ 11","xuaŋ 11","khuö 1","xon 1"
2536,5149,"灘","山開一平寒透","3492 1669","than 11","thã 11","thã 11","thä̃ 1","than 11","than 11","thɛ̃ 11","the̲ 11","tha 11","than 11","thã 11","than 11","than 11","thān 11","than 11","thaŋ 11","thaŋ 11","the̲ 1","than 1"
2537,5151,"瓤","宕開三平陽日","3905 2297","ẓaŋ 12","ẓaŋ 12","ẓaŋ 12","zã̲ 1","naŋ 2","zaŋ 12","lâŋ 12","ńiaŋ 12","ɦi 12","ian 12","iaŋ 12","lɔŋ 31","","nɔŋ 12","nŋ 12","nɨŋ 12","louŋ 12","piɔ 32","žiaŋ 12"
2538,5152,"疊","咸開四入帖定","0655 0327","tie 12","tie 12","tie 12","tiəʔ 42","tie 12","tie 12","tiəʔ 4","diôʔ 42","di 42","tie 4","thiɛ 31","thiɛt 41","thiap 42","tip 42","tiap 42 (lit.); thiap 42","tiəp 42","tieʔ 42","tîʔ 42","tie 41"
2539,5154,"癬","山開三上獼心","4089 2008","śyan 2","śyã 2","śiã 2","śiɛ 2","śian 2","śyan 2","śyî̃ 2","sî 2","śi 21","siẽ 2","suĩ 2","śyɔn 2","chiɛn 2","šin 21","sian 2","sieŋ 21","chiaŋ 2","sî 3","sien 2"
2540,5156,"籠","通合一平東來","4705 2636","luŋ 12","luŋ 12","loŋ 12","luŋ 1","noŋ 12","noŋ 12","lɔuŋ 12","loŋ 12","loŋ 12","noŋ 12","naŋ 12; nən 12","luŋ 31","luŋ 12","luŋ 12","lɔŋ 12","laŋ 12","löyŋ 12","loŋ 32","luŋ 12"
2541,5158,"聾","通合一平東來","5122 2637","luŋ 12","luŋ 12","noŋ 12","luŋ 1","noŋ 11","noŋ 11","lɔuŋ 12","loŋ 12","loŋ 12","noŋ 12","naŋ 12; nən 12","luŋ 11","luŋ 11","luŋ 12","lɔŋ 12","laŋ 12","luŋ 12 (lit.); löyŋ 12","loŋ 32","luŋ 12"
2542,5159,"聽","梗開四平青透","8126 2538","thiŋ 11","thiŋ 11","thiŋ 11","thiŋ 1","thin 3","thin 11","thĩ 11","thin 11","theŋ 11","thin 31","thin 11","thiaŋ 11","thaŋ 11","thîŋ 11","thîŋ 11 (lit.); thiã 11","thiã 11","tiŋ 11 (lit.); thiaŋ 11","thiŋ 1","thiə 1; thiəŋ 3"
2543,5160,"臟","宕開一去宕從","5253 2259","caŋ 3","caŋ 3","caŋ 3","cã̲ 3","caŋ 3","caŋ 3","câŋ 3","za̲ŋ 32","zuɔ 32","can 31","ʒaŋ 32","chɔŋ 32","chɔŋ 3","čɔŋ 32","cɔŋ 32 (lit.); cŋ 32","caŋ 22","cauŋ 32","",""
2544,5162,"襯","臻開三去震初","6000 2066","c̣hən 3","c̣hẽ 3","c̣hẽ 3","chəŋ 3","chən 3","chən 3","chən 3","chən 31","chaŋ 31","chən 31","ćhiɛ̃ 31","chɛn 2","chən 3","čhan 31","chîŋ 31 (lit.); chaĩ 2","chiŋ 31","cheiŋ 31","chəŋ 3","čhən 3"
2545,5163,"讀","通合一入屋定","6236 0795","tu 12","tu 2","tou 12","tuəʔ 42","tou 12","tu 12","tɔʔ 4","doʔ 42","du 42","tôu 4","thəu 31","thuk 41","thuk 42","tuk 42","thɔk 42","thak 42","tuʔ 42","toʔ 42","tu 41"
2546,5164,"贖","通合三入燭船","6370 0891","ṣu 12","ṣu 12","sou 12; fu 12","suəʔ 42","sou 12","śyo 12; su 12","sɔʔ 4","zoʔ 41","ɦyo 42","ṣôu 4","śiû 31","suk 41","suk 42","šuk 42","siɔk 42","sok 42","syʔ 42","zoʔ 42","šiu 41"
2547,5170,"鑄","遇合三去遇章","6999 0865","c̣u 3","c̣u 3; ćy 3","pfu 3","cu 3","ćy 3","cu 3","cu 3","cü 31","ci̲ 31","ćy 31","ty 31","ćy 31","cu 3","čy 31","cu 31","cu 31","cuɔ 31","cü 3","čiu 3"
2548,5178,"驕","效開三平宵見","7524 1444","ćiau 11","ćiɔ 11","ćiau 11","ćiau 1","ćiau 11","ćiau 11","ćiɔ 11","ćiä 11","ćiɛ 11","ćiau 11","ćiə 11","ćiɛu 11","kiau 11","kiu 11","kiau 11","kiəu 11","kieu 11","ćiɔ 3","kiau 1"
2549,5180,"髒","宕開一平唐精","7554 2257","caŋ 11","caŋ 11","caŋ 11","cã̲ 1","caŋ 11","caŋ 11","câŋ 11","ca̲ŋ 11","cɔ 11","can 11","caŋ 11","cɔŋ XH","cɔŋ 11","čɔŋ 11","cɔŋ 11","caŋ 11","couŋ 11","",""
2550,5181,"鬚","遇合三平虞心","7586 0989","śy 11","śy 11","śy 11","śy 1","śy 11","śy 11","śy 11","si 11","si̲ 11","si 11","śy 11","śy 11","si 11","šou 11","su 11 (lit.); siu 11","su 11","sy 11","sy 1","siu 1"
2551,5184,"鰾","效開三上小並","7674 1407","piau 3","piɔ 3","piau 11","piau 3","piau 11","piau 3","piɔ 3","biä 12","biɛ 12","piau 11","piə 11","piɛu 11","phiau 3","phiu 22","piau 32 (lit.); pio 32","","phieu 31","piɔ 1","piau 3"
2552,5191,"巖","咸開二平銜疑","1554 1896","ian 12","iã 12","iã 12","iɛ 1","ian 12","ŋai 12","î̃ 12","ńî 12","ŋa 12","ŋai 12","ŋã 12","ńiɛn 31","ŋam 12","ŋām 12","gam 12 (lit.); giam 12","ŋan 12","ŋieŋ 12","ńî 32","am 12"
2553,5192,"戀","山合一去線來","2043 1821","lian 3","liã 3","luã 12","liɛ 3","nian 3","nian 3","lî̃ 3","lî 12","li 32","niẽ 31","nî̃ 32","liɛn 32","liɛn 3","lyn 22","luan 32 (lit.); luan 12","lueŋ 31","luɔŋ 32","lî 32","lyen 3"
2554,5195,"攪","效開二上巧見","2383 1449","ćiau 2","ćiɔ 2","ćiau 2","ćiau 2","ćiau 2","ćiau 2","ćiɔ 2","ćiä 2","kuɔ 21","kau 2","ćiə 2","kau 2","kau 2","kāu 21","kiau 2  (lit.); kau 2  (lit.); ka 2","ka 21","kau 31","ćiɔ 3","kau 2"
2555,5200,"籤","咸開三平鹽清","4706 1857","ćhian 11","ćhiã 11","ćhiã 11","ćhiɛ 1","ćhian 11","ćhian 11","ćhĩ̲ 11","chî 11","ćhi 11","chiẽ 11","ćhî̃ 11","ćhiɛn 11","chiam 11","čhim 11","chiam 11","chiəm 11","chieŋ 11","chî 1","chiem 1"
2556,5202,"纓","梗開三平清影","4964 2605","iŋ 11","iŋ 11","iŋ 11","iŋ 1","in 11","i 11","ĩ 11","in 11","iaŋ 11","in 11","in 11","in 11","jin 11","jîŋ 11","îŋ 11 (lit.); iã XH","eŋ 11","eiŋ 11","iiŋ 1","iəŋ 1"
2557,5204,"蘸","咸開二去陷莊","5699 1715","c̣an 3","c̣ã 3","cã 3","cä̃ 3","can 3","can 3","cɛ̃ 3","ce̲ 31","ca 31","can 31","","can 31","ciam 2","čām 31","cam 31","ciəm 31","","ce̲ 3","čam 3"
2558,5207,"變","山開三去線幫","6239 1774","pian 3","piã 3","piã 3","piɛ 3","pian 3","pian 3","pî̃ 3","pî 31","pi 31","piẽ 31","pî̃ 31","piɛn 31","piɛn 3","pin 31","pian 31 (lit.); pĩ 31","pieŋ 31","pieŋ 31","pî 3","pien 3"
2559,5213,"顯","山開四上銑曉","7341 1883","śian 2","śiã 2","śiã 2","śiɛ 2","śian 2","śian 2","śî̃ 2","śî 31","śi 21","śiẽ 2","śî̃ 2","śiɛn 2","hian 2","hin 21","hian 2","hieŋ 21","xieŋ 2","śî 3","xien 2"
2560,5215,"驚","梗開三平庚見","7528 2561","ćiŋ 11","ćiŋ 11","ćiŋ 11","ćiŋ 1","ćin 11","ćin 11","ćĩ 11","ćin 11","ćiaŋ 11","ćin 11","ćin 11 (lit.); ćiõ 11","ćin 11 (lit.); ćiaŋ 11","kiaŋ 11","kɛŋ 11","kîŋ 11 (lit.); kiã 11","kiã 11","kiŋ 11 (lit.); kiaŋ 11","ćiŋ 1","kiəŋ 1"
2561,5217,"驗","咸開三去豔疑","7526 1909","ian 3","iã 3","iã 3","iɛ 3","nian 3","ńian 3","î̃ 3","ńî 32","ńi 32","ńiẽ 31 (lit.); ńiẽ 32","ńî̃ 32","ńiɛn 32","ńiam 3","jim 32","giam 32","ŋiəm 32","ŋieŋ 32","ńî 32","iem 3"
2562,5219,"體","蟹開四上薺透","7555 0587","thi 2","thi 2","thi 2","thi 2","thi 2","thi 2","thi 2","thi 2","thei 21","thi 2","thi 2","thi 2","thi 2","thai 21","the 2  (lit.); thue 2","thi 21","thɛ 2","thi 3","thi 2"
2563,5222,"鱗","臻開三平真來","7673 2108","lin 12","liẽ 12","liẽ 12","liŋ 1","nin 12","nin 12","lĩ 12","lin 12","leŋ 12","nin 12","nin 12","lin 31","lin 11","lö̲n 12","lin 12","laŋ 12","liŋ 12","liŋ 32",""
2564,5227,"囑","通合三入燭章","0928 0858","c̣u 2","c̣u 11","pfu 11","cuəʔ 41","sou 12","su 12","cɔʔ 4","coʔ 41","ćyo 41","côu 4","ćiû 12","cuk 41","cuk 41","čuk 41","ciɔk 41","cok 41","cöyʔ 41","coʔ 4",""
2565,5228,"壩","假開二去禡幫","1100 0015","pa 3","pa 3","pa 3","pa 3","pa 3","pa 3","pai 3","po 31","po 31","pa 31","po 31","pa 31","pa 3","pa 31","pa 31","pa 31","pa 31","",""
2566,5229,"攬","咸開一上敢來","2385 1692","lan 2","lã 2","lã 2","lä̃ 2","nan 2","nan 2","lɛ̃ 2","le̲ 32","la 22","nan 2","nã 2","lan 2","lam 3","lām 22","lam 2  (lit.); nã 2","lam 21","laŋ 2","le̲ 32","lam 2"
2567,5234,"罐","山合一去換見","4984 1959","kuan 3","kuã 3","kuã 3","kuä̃ 3","kuan 3","kuan 3","kuo 3","kuö 31","ky 31","kõ 31","kuɛ̃ 31","kuɔn 31","kuɔn 3","kun 31","kuan 31","kueŋ 31","kuaŋ 31","",""
2568,5236,"蠶","咸開一平覃從","5729 1701","chan 12","chã 12","chã 12","chä̃ 1","chan 12","chan 12","chɛ̃ 12","zö 12","zö 12","can 12","ʒã 12","chɔn 12","cham 12","čhām 12","cham 12 (lit.); chan 12","choĩ 12","caŋ 12","zö 32","cham 12"
2569,5239,"讓","宕開三去漾日","6245 2299","ẓaŋ 3","ẓaŋ 3","ẓaŋ 3","zã̲ 3","naŋ 3","zaŋ 3","lâŋ 3","zaŋ 32 (lit.); ńiaŋ 32","ńi 32","ẓan 31 (lit.); ẓan 32","iaŋ 32","lɔŋ 32 (lit.); ńiɔŋ 32","jɔŋ 3","jö̲ŋ 32","ʒiɔŋ 32 (lit.); liɔŋ 32 (lit.); niũ 32","niẽ 32","luɔŋ 32","ńiã 32","žiaŋ 3"
2570,5248,"靈","梗開四平青來","7227 2551","liŋ 12","liŋ 12","liŋ 12","liŋ 1","nin 12","nin 12","lĩ 12","lin 12","leŋ 12","nin 12","nin 12","lin 31 (lit.); liaŋ 31","lin 12","lîŋ 12","lîŋ 12","leŋ 12","liŋ 12","liŋ 32","liəŋ 12"
2571,5251,"驟","流開三去宥崇","7532 1528","c̣ou 3","c̣ou 3","cou 3","cou 3","cou 3","chəu 3","côɨ 3","zöy 32","ʒau 32","c̣hôu 31 (lit.); tôu 31","ćhiə 31","","chɛu 2","čau 32","cɔ 32","cou 21","cau 32","zy 32","čou 3"
2572,5255,"鷹","曾開三平蒸影","7751 2601","iŋ 11","iŋ 11","iŋ 11","iŋ 1","in 3","in 3","ĩ 11","in 11","iaŋ 11","in 31","in 11","in 11","jin 3","jîŋ 11","îŋ 11","eŋ 11","iŋ 11","",""
2573,5257,"鹼","咸開二上豏見","4354 1835","ćian 2","ćiã 2","ćiã 2","ćiɛ 2","ćian 2","ćian 2","ćiɛ̃ 2","ćî 2  (lit.); ke̲ 2","ka 21","kan 2","ćî̃ 2","kan 2","kiam 2","kām 21","kĩ 2","kiəm 21","kieŋ 2","ke̲ 3","kiam 2"
2574,5258,"鹽","咸開三平鹽以","7770 1897","ian 12","iã 12","iã 12","iɛ 1","ian 12","ian 12","î̃ 12","î 12","ɦi 12","iẽ 12","î̃ 12","iɛn 31","jam 12","jim 12","iam 12","iəm 12","sieŋ 12","iî 32","iem 12"
2575,5262,"廳","梗開四平青透","1689 2539","thiŋ 11","thiŋ 11","thiŋ 11","thiŋ 1","thin 11","thin 11","thĩ 11","thin 11","theŋ 11","tin 11","tin 11 (lit.); thiõ 11","thin 11","thaŋ 11","thɛŋ 11","thîŋ 11 (lit.); thiã 11","thiã 11","thiaŋ 11","thiŋ 1",""
2576,5264,"灣","山合二平刪影","3494 1977","uan 11","uã 11","uã 11","vä̃ 1","uan 11","uan 11","uɛ̃ 11","ue̲ 11","ua 11","uan 11","uã 11","uan 11","van 11","uān 11","uan 11","ueŋ 11","uaŋ 11","",""
2577,5265,"籬","止開三平支來","4713 0601","li 12","li 12","li 12","li 1","ni 12","ni 12","li 12","li 12","lei 12","ni 12","ni 12","li 31","li 12","lei 12","li 12","li 12","lie 12","li 32","li 12"
2578,5266,"籮","果開一平歌來","4712 0264","luo 12","luə 12","luo 12","lə 1; luə 1","no 12","no 12","lo 12","ləu 12","ləu 12","no 12","nû 12","lo 31","lɔ 12","lo 12","lua 12","lo 12","lɔ 12","lou 32","luo 12"
2579,5267,"蠻","山開二平刪明","5875 1642","man 12","mã 12","mã 12","mä̃ 1","man 12","man 12","mɛ̃ 12; mɛ̃ 11","me̲ 12","ma 12","man 12","mã 12","man 31","man 12","mān 12","ban 12","maŋ 12","maŋ 12","me̲ 32","man 12"
2580,5268,"觀","A: 山合一平桓見; B: 山合一去換見","A: 6034 1955; B: 6034 1962","A: kuan 11; B: kuan 3","A: kuã 11; B: kuã 3","A: kuã 11; B: kuã 3","A: kuä̃ 1; B: kuä̃ 3","A: kuan 11; B: kuan 3","A: kuan 11; B: kuan 3","A: kuõ 11; B: kuõ 3","A: kuö 11; B: kuö 31","A: ky 11; B: ky 31","A: kõ 11; B: kõ 31","A: kuã 11; B: kuɛ̃ 31","A: kuɔn 11; B: kuɔn 31","A: kuɔn 11; B: kuɔn 3","A: kun 11; B: kun 31","A: kuan 11; B: kuan 31","A: kueŋ 11; B: kueŋ 31","A: kuaŋ 11; B: kuaŋ 31","A: kuö 1; B: kuö 3","A: ; B:"
